ItemID,Golden_label,Annotator
1,Dandelion,Annotator1
1,Dandelion,Annotator2
1,Sowthisles,Annotator3
11,Dandelion,Annotator1
11,Sowthisles,Annotator2
11,Dandelion,Annotator3
15,Sowthisles,Annotator1
15,Sowthisles,Annotator2
15,Sowthisles,Annotator3
16,Pigweed,Annotator1
16,Sowthisles,Annotator2
16,Sowthisles,Annotator3
24,Sowthisles,Annotator1
24,Dandelion,Annotator2
24,Pigweed,Annotator3
29,Sowthisles,Annotator1
29,Dandelion,Annotator2
29,Pigweed,Annotator3
31,Sowthisles,Annotator1
31,Pigweed,Annotator2
31,Pigweed,Annotator3
32,Dandelion,Annotator1
32,Pigweed,Annotator2
32,Sowthisles,Annotator3
35,Dandelion,Annotator1
35,Dandelion,Annotator2
35,Sowthisles,Annotator3
38,Dandelion,Annotator1
38,Pigweed,Annotator2
38,Sowthisles,Annotator3
44,Dandelion,Annotator1
44,Sowthisles,Annotator2
44,Dandelion,Annotator3
46,Dandelion,Annotator1
46,Sowthisles,Annotator2
46,Sowthisles,Annotator3
47,Dandelion,Annotator1
47,Dandelion,Annotator2
47,Dandelion,Annotator3
48,Sowthisles,Annotator1
48,Sowthisles,Annotator2
48,Pigweed,Annotator3
49,Dandelion,Annotator1
49,Sowthisles,Annotator2
49,Dandelion,Annotator3
52,Dandelion,Annotator1
52,Sowthisles,Annotator2
52,Pigweed,Annotator3
60,Dandelion,Annotator1
60,Sowthisles,Annotator2
60,Dandelion,Annotator3
64,Dandelion,Annotator1
64,Dandelion,Annotator2
64,Pigweed,Annotator3
73,Pigweed,Annotator1
73,Pigweed,Annotator2
73,Dandelion,Annotator3
75,Dandelion,Annotator1
75,Dandelion,Annotator2
75,Dandelion,Annotator3
78,Dandelion,Annotator1
78,Pigweed,Annotator2
78,Sowthisles,Annotator3
81,Sowthisles,Annotator1
81,Pigweed,Annotator2
81,Pigweed,Annotator3
92,Pigweed,Annotator1
92,Sowthisles,Annotator2
92,Pigweed,Annotator3
93,Sowthisles,Annotator1
93,Sowthisles,Annotator2
93,Sowthisles,Annotator3
100,Sowthisles,Annotator1
100,Sowthisles,Annotator2
100,Dandelion,Annotator3
